,vehiclebrand,vehiclemodel,enginetype,vehiclesize,vehicletype
0,TOYOTA,VIOS,Non-EV,S,SEDAN
1,MAZDA,3_Hatchback,Non-EV,M,HATCHBACK
2,MG,ZS,Non-EV,M,SUV
3,MAZDA,2_Sedan,Non-EV,S,SEDAN
4,ISUZU,D-Max_4_DOOR,Non-EV,L,PICK_UP_4_DOOR
5,TOYOTA,ATIV,Non-EV,XS,SEDAN
6,MITSUBISHI,ATTRAGE,Non-EV,XS,SEDAN
7,MG,3,Non-EV,S,HATCHBACK
8,TOYOTA,YARIS,Non-EV,XS,HATCHBACK
9,MITSUBISHI,MIRAGE,Non-EV,XS,HATCHBACK
10,NISSAN,MARCH,Non-EV,XS,HATCHBACK
11,SUZUKI,SWIFT,Non-EV,XS,HATCHBACK
12,HONDA,CITY_Sedan,Non-EV,S,SEDAN
13,HONDA,CITY_Hatchback,Non-EV,S,HATCHBACK
14,TOYOTA,CROSS_HYBRID,Non-EV,M,SUV
15,HONDA,CIVIC_Sedan,Non-EV,M,SEDAN
16,HONDA,BR-V,Non-EV,S,SUV
17,MINI,COOPER_SE_EV,Non-EV,L,EV
18,MINI,COOPER_SE_EV,EV,L,HATCHBACK
19,NISSAN,LEAF,EV,L,HATCHBACK
20,NISSAN,ALMERA,Non-EV,XS,SEDAN
21,NISSAN,NOTE,Non-EV,XS,HATCHBACK
22,BMW,IX3,EV,L,SUV
23,HYUNDAI,H-1,Non-EV,XL,VAN
24,MG,ZS_EV,EV,M,SUV
25,TOYOTA,FORTUNER,Non-EV,XL,SUV
26,MG,HS,Non-EV,M,SUV
27,LEXUS,UX_300e,EV,XL,SUV
28,TOYOTA,PRIUS_HYBRID,Non-EV,M,HATCHBACK
29,TOYOTA,ALPHARD_HYBRID,Non-EV,XL,VAN
30,HONDA,ACCORD,Non-EV,L,SEDAN
31,TOYOTA,SIENTA,Non-EV,S,MPV
32,TOYOTA,ALTIS,Non-EV,M,SEDAN
33,MG,5,Non-EV,S,SEDAN
34,BMW,520D,Non-EV,L,SEDAN
35,MERCEDES_BENZ,C350e_PHEV,Non-EV,L,SEDAN
36,NISSAN,KICKS_e-POWER_HYBRID,Non-EV,M,SUV
37,TOYOTA,CAMRY_HYBRID,Non-EV,L,SEDAN
38,HONDA,HR-V,Non-EV,M,SUV
39,NISSAN,SYLPHY,Non-EV,M,SEDAN
40,HONDA,MOBILIO,Non-EV,S,SUV
41,BMW,330E_PHEV,Non-EV,L,SEDAN
42,TOYOTA,ALPHARD,Non-EV,XL,VAN
43,MG,EP,EV,XL,MPV
44,TOYOTA,VELOZ,Non-EV,M,MPV
45,ORA,GOODCAT,EV,M,HATCHBACK
46,MITSUBISHI,XPANDER,Non-EV,M,MPV
47,NETA,V,EV,S,HATCHBACK
48,NISSAN,JUKE,Non-EV,M,SUV
49,FORD,EVEREST,Non-EV,XL,SUV
50,MG,4,EV,M,HATCHBACK
51,VOLT,CITY,EV,XS,HATCHBACK
52,MG,VS_HYBRID,Non-EV,M,SUV
53,SUZUKI,CIAZ,Non-EV,XS,SEDAN
54,BMW,220I,Non-EV,L,SEDAN
55,BMW,520I,Non-EV,L,SEDAN
56,BYD,ATTO_3,EV,M,SUV
57,NISSAN,NAVARA_2_DOOR,Non-EV,M,PICK_UP_2_DOOR
58,TOYOTA,CAMRY,Non-EV,L,SEDAN
59,BMW,320D,Non-EV,L,SEDAN
60,TOYOTA,INNOVA,Non-EV,L,MPV
61,TOYOTA,COMMUTER,Non-EV,XL,VAN
62,MERCEDES_BENZ,E300e_PHEV,Non-EV,L,SEDAN
63,MITSUBISHI,PAJERO_SPORT,Non-EV,XL,SUV
64,MAZDA,CX-30,Non-EV,M,SUV
65,TOYOTA,ALTIS_HYBRID,Non-EV,M,SEDAN
66,ISUZU,MU-X,Non-EV,XL,SUV
67,MINI,COOPER_S,Non-EV,L,HATCHBACK
68,FORD,RANGER_4_DOOR,Non-EV,L,PICK_UP_4_DOOR
69,VOLVO,XC40,Non-EV,M,MPV
70,AUDI,A5,Non-EV,L,COUPE
71,MG,HS_PHEV,Non-EV,L,SUV
72,KIA,GRAND_CARNIVAL,Non-EV,XL,MPV
73,MAZDA,2_Hatchback,Non-EV,S,HATCHBACK
74,MERCEDES_BENZ,C250,Non-EV,L,SEDAN
75,VINFAST,LUX A2.0,Non-EV,L,SEDAN
76,KIA,Rio,Non-EV,S,HATCHBACK
77,TOYOTA,YARIS,Non-EV,XS,SEDAN
78,TOYOTA,COMMUTER-VIP,Non-EV,XL,VAN
79,HYUNDAI,H-1-VIP,Non-EV,XL,VAN
80,BMW,X7,Non-EV,XL,SUV
81,TOYOTA,HIACE,Non-EV,XL,VAN
82,HYUNDAI,STARIA,Non-EV,XL,VAN
83,TOYOTA,CROSS,Non-EV,M,SUV
84,SUZUKI,XL7,Non-EV,M,SUV
85,ISUZU,D-Max_2_DOOR,Non-EV,M,PICK_UP_2_DOOR
86,BMW,X1,Non-EV,L,SUV
87,TOYOTA,VENTURY,Non-EV,XL,VAN
88,MERCEDES_BENZ,GLC300e_PHEV,Non-EV,L,SUV
89,MERCEDES_BENZ,A200,Non-EV,M,SEDAN
90,NISSAN,URVAN,Non-EV,XL,VAN
91,BYD,DOLPHIN,EV,S,HATCHBACK
92,MAZDA,CX-5,Non-EV,XL,SUV
93,ISUZU,D-Max-CAB_4_DOOR,Non-EV,L,PICK_UP_4_DOOR
94,MITSUBISHI,XPANDER_CROSS,Non-EV,M,MPV
95,BMW,530E_PHEV,Non-EV,L,SEDAN
96,HONDA,BRIO,Non-EV,XS,HATCHBACK
97,SUBARU,XV,Non-EV,L,SUV
98,MERCEDES_BENZ,E350e_PHEV,Non-EV,L,SEDAN
99,MERCEDES_BENZ,C200,Non-EV,L,SEDAN
100,SUBARU,FORESTER,Non-EV,L,SUV
101,FORD,ECOSPORT,Non-EV,M,HATCHBACK
102,BYD,SEAL,EV,L,SEDAN
103,HONDA,HR-V_HYBRID,Non-EV,M,SUV
104,MERCEDES_BENZ,GLC250D,Non-EV,L,MPV
105,HYUNDAI,GRAND_STAREX,Non-EV,XL,VAN
106,MG,GS,Non-EV,M,SUV
107,MERCEDES_BENZ,CLS_300D_COUPE,Non-EV,L,COUPE
108,MERCEDES_BENZ,CLA250,Non-EV,L,SEDAN
109,TESLA,MODEL_3,EV,L,SEDAN
110,AION,Y-PLUS,EV,M,SUV
111,TOYOTA,HARRIER,Non-EV,XL,SUV
112,HONDA,CR-V,Non-EV,XL,SUV
113,MAZDA,CX-3,Non-EV,M,SUV
114,TOYOTA,YARIS_CROSS,Non-EV,M,SUV
115,TOYOTA,C-HR_HYBRID,Non-EV,M,SUV
116,HAVAL,JOLION_HYBRID,Non-EV,M,SUV
117,MERCEDES_BENZ,GLA200,Non-EV,XL,SUV
118,VOLVO,S60,Non-EV,L,SEDAN
119,TAILG,WARRIOR,EV,XS,MOTO
120,MITSUBISHI,TRITON_4_DOOR,Non-EV,L,PICK_UP_4_DOOR
121,HONDA,ACCORD,Non-EV,L,SEDAN
122,NISSAN,TEANA,Non-EV,L,SEDAN
123,MG,MAXUS_9,EV,XL,VAN
124,BMW,X3,Non-EV,L,SUV
125,TOYOTA,MAJESTY,Non-EV,XL,VAN
126,MERCEDES_BENZ,GLA250,Non-EV,XL,SUV
127,BMW,I7,EV,L,SEDAN
128,CHEVROLET,TRAILBLAZER,Non-EV,XL,SUV
129,HONDA,BRIO_AMAZE,Non-EV,XS,SEDAN
130,TOYOTA,REVO_4_DOOR,Non-EV,L,PICK_UP_4_DOOR
131,TOYOTA,BZ4X,EV,M,SUV
132,MERCEDES_BENZ,C220,Non-EV,L,SEDAN
133,HONDA,CITY_HYBRID_Sedan,Non-EV,S,SEDAN
134,FORD,FOCUS,Non-EV,M,HATCHBACK
135,SCANIA,K-SERIES,Non-EV,XL,BUS
136,VOLVO,EX30-EV,Non-EV,L,SUV
137,SUZUKI,CELERIO,Non-EV,XS,HATCHBACK
138,BMW,320LI,Non-EV,L,SEDAN
139,BMW,218I,Non-EV,M,COUPE
140,MINI,COOPER,Non-EV,L,HATCHBACK
141,DEEPAL,L07,EV,L,SEDAN
142,NISSAN,X-TRAIL,Non-EV,XL,SUV
143,TESLA,MODEL_Y,EV,L,SUV
144,HONDA,CITY_HYBRID_Hatchback,Non-EV,S,HATCHBACK
145,MG,EXTENDER_4_DOOR,Non-EV,L,PICK_UP_4_DOOR
146,HONDA,JAZZ,Non-EV,S,HATCHBACK
147,MAZDA,3_Sedan,Non-EV,M,SEDAN
148,PORSCHE,TAYCAN,EV,M,SEDAN
149,MERCEDES_BENZ,SLK200,Non-EV,L,CONVERTIBLE
150,BYD,M6,EV,L,SUV
151,SUZUKI,ERTIGA,Non-EV,S,MPV
152,HONDA,CIVIC_Sedan,Non-EV,M,SEDAN
153,MG,ES,EV,M,SUV
154,NISSAN,SERENA,Non-EV,M,MPV
155,TOYOTA,C-HR,Non-EV,M,SUV
