vehicleid,vehiclebrand,vehiclemodel
16094,TOYOTA,VELOZ
16096,BYD,DOLPHIN
16097,TOYOTA,ALPHARD_HYBRID
16103,MAZDA,CX-5
16104,MG,3
16105,NETA,V
16106,MG,ZS
16109,NISSAN,NOTE
16110,MG,ZS
16111,HONDA,CITY_Sedan
16117,ORA,GOODCAT
16118,TOYOTA,ATIV
16120,TOYOTA,YARIS
16122,MITSUBISHI,XPANDER
16124,ISUZU,MU-X
16128,MITSUBISHI,XPANDER
16129,TOYOTA,VIOS
16131,TOYOTA,ATIV
16132,HAVAL,JOLION_HYBRID
16137,TOYOTA,VIOS
16139,TOYOTA,YARIS
16141,MERCEDES_BENZ,GLA200
16142,HYUNDAI,H-1
16143,SUBARU,FORESTER
16144,TESLA,MODEL_3
16149,HONDA,CITY_Sedan
16159,MAZDA,3_Hatchback
16165,BYD,ATTO_3
16173,TOYOTA,CAMRY
16177,SUZUKI,CIAZ
16181,TOYOTA,PRIUS_HYBRID
16182,VOLVO,S60
16184,TAILG,WARRIOR
16188,TAILG,WARRIOR
16191,BMW,X1
16192,BMW,330E_PHEV
16193,HONDA,CITY_Sedan
16194,HONDA,CITY_Sedan
16196,ORA,GOODCAT
16199,MITSUBISHI,TRITON_4_DOOR
16209,TOYOTA,ALTIS
16210,TOYOTA,ALTIS
16211,MITSUBISHI,XPANDER
16212,HYUNDAI,GRAND_STAREX
16216,TOYOTA,ATIV
16217,HONDA,HR-V
16220,MAZDA,2_Sedan
16222,MG,4
16224,MAZDA,2_Sedan
16226,HONDA,CR-V
16228,TOYOTA,COMMUTER
16233,TOYOTA,FORTUNER
16234,MG,HS
16237,TOYOTA,ATIV
16238,TOYOTA,VELOZ
16240,TOYOTA,VELOZ
16241,TOYOTA,VELOZ
16247,HONDA,CIVIC_Sedan
16248,MG,HS
16249,HONDA,ACCORD
16250,NISSAN,TEANA
16251,MG,MAXUS_9
16252,MG,4
16253,BMW,X3
16257,HONDA,BR-V
16258,HONDA,CITY_Sedan
16259,HONDA,CITY_Sedan
16260,HONDA,CITY_Sedan
16262,TOYOTA,FORTUNER
16263,TOYOTA,MAJESTY
16264,MERCEDES_BENZ,GLA250
16265,BMW,320D
16266,BMW,X1
16268,HONDA,CITY_Hatchback
16270,BYD,DOLPHIN
16272,TOYOTA,ATIV
16273,TOYOTA,VIOS
16275,HONDA,HR-V
16276,SUZUKI,SWIFT
16278,MG,5
16280,MG,ZS
16281,MAZDA,2_Sedan
16283,NISSAN,ALMERA
16286,MINI,COOPER_S
16287,TOYOTA,ATIV
16288,TOYOTA,ATIV
16289,TOYOTA,ATIV
16290,TOYOTA,ATIV
16291,TESLA,MODEL_3
16297,TOYOTA,COMMUTER
16301,HONDA,CITY_Sedan
16302,TOYOTA,COMMUTER
16309,TOYOTA,COMMUTER
16311,MAZDA,2_Sedan
16312,NISSAN,NOTE
16313,TOYOTA,C-HR_HYBRID
16314,TOYOTA,CAMRY
16319,ISUZU,MU-X
16324,BMW,320D
16327,TOYOTA,ALPHARD
16336,TOYOTA,ALPHARD
16339,TOYOTA,ATIV
16340,TOYOTA,YARIS
16342,HONDA,CITY_Sedan
16343,TOYOTA,ATIV
16344,BMW,I7
16346,TOYOTA,ATIV
16347,TOYOTA,YARIS
16348,CHEVROLET,TRAILBLAZER
16350,NISSAN,ALMERA
16351,MITSUBISHI,XPANDER
16361,MERCEDES_BENZ,GLA200
16371,MG,ZS_EV
16379,TOYOTA,ATIV
16383,BYD,ATTO_3
16384,ORA,GOODCAT
16385,HYUNDAI,H-1
16387,MAZDA,2_Sedan
16388,MITSUBISHI,PAJERO_SPORT
16389,MINI,COOPER_S
16398,TOYOTA,CROSS_HYBRID
16399,MAZDA,CX-3
16401,MITSUBISHI,XPANDER
16404,BMW,X1
16411,TOYOTA,COMMUTER
16412,BYD,SEAL
16415,HONDA,BRIO_AMAZE
16416,TOYOTA,FORTUNER
16419,MG,ZS
16421,BYD,DOLPHIN
16425,MG,ZS
16427,BMW,X3
16428,BMW,X3
16429,BYD,ATTO_3
16433,HONDA,BRIO_AMAZE
16436,HONDA,CITY_Sedan
16438,MG,5
16439,ISUZU,MU-X
16442,TOYOTA,COMMUTER
16447,MAZDA,2_Sedan
16448,MERCEDES_BENZ,C200
16449,MAZDA,CX-3
16450,ISUZU,MU-X
16451,TOYOTA,COMMUTER
16452,MAZDA,CX-30
16454,TOYOTA,ATIV
16455,NISSAN,NOTE
16456,TOYOTA,YARIS
16457,MG,5
16460,TOYOTA,VIOS
16463,TOYOTA,ATIV
16465,TOYOTA,YARIS
16466,TOYOTA,ATIV
16467,TOYOTA,YARIS
16483,TOYOTA,YARIS
16484,TOYOTA,COMMUTER
16488,TOYOTA,REVO_4_DOOR
16489,TOYOTA,COMMUTER
16490,TOYOTA,COMMUTER
16491,TOYOTA,ATIV
16492,TOYOTA,ATIV
16494,TOYOTA,ATIV
16496,TOYOTA,COMMUTER
16498,TOYOTA,FORTUNER
16500,TOYOTA,ATIV
16506,MG,4
16507,TOYOTA,BZ4X
16508,TOYOTA,ATIV
16509,MG,HS_PHEV
16510,TOYOTA,VELOZ
16512,TOYOTA,FORTUNER
16514,TOYOTA,YARIS
16518,HONDA,CITY_Sedan
16519,MG,5
16521,MAZDA,2_Sedan
16522,NISSAN,NOTE
16525,NISSAN,ALMERA
16526,MG,3
16527,MG,5
16528,NETA,V
16530,HYUNDAI,H-1
16532,MERCEDES_BENZ,C220
16533,TOYOTA,FORTUNER
16534,TOYOTA,VENTURY
16538,MG,ZS
16539,TOYOTA,CROSS_HYBRID
16545,HYUNDAI,H-1
16552,HONDA,HR-V
16553,HONDA,CITY_HYBRID_Sedan
16554,FORD,FOCUS
16558,MAZDA,2_Sedan
16559,MITSUBISHI,XPANDER_CROSS
16562,HONDA,CR-V
16564,MG,ZS
16565,MITSUBISHI,XPANDER
16569,TOYOTA,CROSS
16570,SCANIA,K-SERIES
16571,SCANIA,K-SERIES
16572,SCANIA,K-SERIES
16574,TESLA,MODEL_3
16575,SCANIA,K-SERIES
16576,SCANIA,K-SERIES
16579,SCANIA,K-SERIES
16580,TOYOTA,ATIV
16583,TOYOTA,FORTUNER
16585,TOYOTA,ALTIS
16590,NISSAN,ALMERA
16594,TOYOTA,ATIV
16596,TAILG,WARRIOR
16597,TAILG,WARRIOR
16598,TAILG,WARRIOR
16599,MERCEDES_BENZ,GLC300e_PHEV
16601,TOYOTA,FORTUNER
16602,NETA,V
16603,BMW,520D
16604,HYUNDAI,H-1-VIP
16605,TOYOTA,YARIS
16606,TOYOTA,FORTUNER
16607,VOLVO,EX30-EV
16608,TOYOTA,ALTIS
16609,TOYOTA,ALTIS
16610,TOYOTA,ALTIS
16613,SUZUKI,CELERIO
16615,BYD,ATTO_3
16616,HONDA,ACCORD
16617,FORD,RANGER_4_DOOR
16618,TOYOTA,ALTIS
16619,TOYOTA,ALTIS
16620,TOYOTA,ALTIS
16622,BYD,DOLPHIN
16623,HONDA,CR-V
16624,BMW,320LI
16625,TOYOTA,YARIS
16626,TOYOTA,YARIS
16627,TOYOTA,YARIS
16628,TOYOTA,YARIS
16629,TOYOTA,YARIS
16630,MITSUBISHI,XPANDER
16631,NISSAN,ALMERA
16632,TOYOTA,ALTIS
16633,HONDA,CITY_Sedan
16634,TOYOTA,VIOS
16635,TOYOTA,VIOS
16636,TOYOTA,VIOS
16638,HONDA,CITY_Sedan
16641,MERCEDES_BENZ,GLA200
16642,BYD,DOLPHIN
16643,HONDA,CITY_Sedan
16644,TOYOTA,ALPHARD_HYBRID
16647,HONDA,CITY_Sedan
16650,NISSAN,ALMERA
16651,TOYOTA,SIENTA
16653,TOYOTA,ALPHARD
16654,TOYOTA,COMMUTER
16655,TOYOTA,ALTIS
16656,TOYOTA,ALTIS
16657,TOYOTA,BZ4X
16658,MG,ZS_EV
16660,TOYOTA,ALPHARD
16661,BMW,218I
16663,BYD,DOLPHIN
16665,NISSAN,ALMERA
16666,MINI,COOPER
16667,MG,4
16668,FORD,EVEREST
16670,BYD,ATTO_3
16671,MITSUBISHI,PAJERO_SPORT
16675,HONDA,CITY_Sedan
16676,TOYOTA,YARIS
16677,HONDA,CITY_Sedan
16678,TOYOTA,ALTIS
16679,DEEPAL,L07
16680,BYD,ATTO_3
16681,TOYOTA,FORTUNER
16682,MAZDA,2_Sedan
16683,TOYOTA,ATIV
16684,TOYOTA,ATIV
16685,TOYOTA,ATIV
16686,TOYOTA,ATIV
16687,TOYOTA,ATIV
16688,TOYOTA,ATIV
16689,TOYOTA,VIOS
16690,TOYOTA,ATIV
16691,HONDA,CITY_Sedan
16692,TOYOTA,ATIV
16693,TOYOTA,ATIV
16694,TOYOTA,ATIV
16695,HYUNDAI,H-1
16696,TOYOTA,FORTUNER
16698,SUZUKI,CIAZ
16699,MERCEDES_BENZ,C250
16704,TOYOTA,REVO_4_DOOR
16706,SUBARU,FORESTER
16707,HONDA,CR-V
16710,MITSUBISHI,PAJERO_SPORT
16712,HONDA,MOBILIO
16713,TOYOTA,FORTUNER
16716,MAZDA,CX-30
16717,TOYOTA,YARIS
16719,TOYOTA,ALPHARD
16720,NISSAN,ALMERA
16721,TOYOTA,VIOS
16722,TOYOTA,VIOS
16723,TOYOTA,COMMUTER
16724,MAZDA,2_Sedan
16725,TOYOTA,ATIV
16727,MG,EP
16728,MAZDA,CX-5
16730,HONDA,CITY_Sedan
16731,TOYOTA,ATIV
16732,TOYOTA,ALPHARD
16733,HYUNDAI,STARIA
16735,NISSAN,ALMERA
16742,FORD,RANGER_4_DOOR
16744,MG,HS
16746,TOYOTA,ALPHARD
16747,TOYOTA,ALPHARD
16748,TOYOTA,ALPHARD
16749,TOYOTA,COMMUTER
16750,NETA,V
16751,ISUZU,MU-X
16752,HONDA,HR-V_HYBRID
16753,MG,EP
16754,NISSAN,X-TRAIL
16755,BMW,520D
16757,TESLA,MODEL_Y
16758,NISSAN,KICKS_e-POWER_HYBRID
16759,TOYOTA,ALPHARD
16760,FORD,EVEREST
16761,TOYOTA,FORTUNER
16762,HONDA,CITY_HYBRID_Hatchback
16763,FORD,EVEREST
16764,ISUZU,MU-X
16765,TOYOTA,COMMUTER
16767,TOYOTA,COMMUTER
16768,TOYOTA,ATIV
16769,BYD,DOLPHIN
16770,SUBARU,FORESTER
16772,MITSUBISHI,XPANDER
16773,TOYOTA,ALTIS
16774,TOYOTA,ATIV
16775,TOYOTA,ATIV
16777,TOYOTA,FORTUNER
16778,TOYOTA,ATIV
16779,TOYOTA,ATIV
16780,TOYOTA,ATIV
16781,TOYOTA,YARIS
16783,TOYOTA,ATIV
16784,TOYOTA,ATIV
16785,ISUZU,MU-X
16786,BYD,SEAL
16787,TOYOTA,ATIV
16788,MAZDA,2_Hatchback
16789,NISSAN,KICKS_e-POWER_HYBRID
16790,BYD,ATTO_3
16791,TOYOTA,ATIV
16792,TOYOTA,FORTUNER
16793,ORA,GOODCAT
16794,MG,5
16795,MG,HS
16796,MG,HS_PHEV
16797,MG,EXTENDER_4_DOOR
16800,MG,5
16802,TOYOTA,ALPHARD_HYBRID
16803,MG,5
16806,BMW,330E_PHEV
16808,TOYOTA,ATIV
16809,CHEVROLET,TRAILBLAZER
16814,HONDA,JAZZ
16816,TOYOTA,ATIV
16817,MERCEDES_BENZ,C350e_PHEV
16818,HYUNDAI,H-1
16819,BYD,SEAL
16820,TOYOTA,YARIS
16822,MG,5
16823,MG,5
16824,MG,5
16825,MG,5
16826,MG,5
16827,MG,5
16828,MG,5
16830,MITSUBISHI,MIRAGE
16831,MG,HS
16832,MAZDA,3_Sedan
16833,NISSAN,MARCH
16834,PORSCHE,TAYCAN
16835,MERCEDES_BENZ,C250
16836,MG,EP
16837,MG,EP
16838,TOYOTA,COMMUTER-VIP
16839,TOYOTA,ALPHARD
16841,TOYOTA,FORTUNER
16842,TOYOTA,CROSS_HYBRID
16843,HONDA,CITY_Sedan
16845,MITSUBISHI,XPANDER
16846,TOYOTA,ALTIS
16847,TOYOTA,ALTIS
16848,TOYOTA,YARIS
16849,TOYOTA,YARIS
16850,TOYOTA,YARIS
16851,NISSAN,ALMERA
16852,NISSAN,ALMERA
16853,NISSAN,ALMERA
16854,NISSAN,ALMERA
16855,NISSAN,ALMERA
16856,NISSAN,ALMERA
16857,NISSAN,ALMERA
16858,NISSAN,ALMERA
16859,NISSAN,ALMERA
16860,NISSAN,ALMERA
16861,NISSAN,ALMERA
16862,ORA,GOODCAT
16863,HONDA,CITY_Sedan
16864,HYUNDAI,STARIA
16865,TOYOTA,ATIV
16866,TOYOTA,CROSS_HYBRID
16867,TOYOTA,YARIS
16868,MG,ZS_EV
16869,TESLA,MODEL_3
16870,MG,ZS
16872,MG,ZS
16873,TOYOTA,ALPHARD
16874,HONDA,CITY_Sedan
16875,HONDA,CITY_Sedan
16876,NETA,V
16878,MERCEDES_BENZ,SLK200
16881,NISSAN,ALMERA
16882,HONDA,HR-V
16884,TOYOTA,C-HR_HYBRID
16885,TOYOTA,ALPHARD
16886,TOYOTA,ATIV
16887,MG,ZS
16888,BYD,ATTO_3
16889,BYD,ATTO_3
16890,NETA,V
16891,MG,EP
16892,MAZDA,2_Sedan
16893,KIA,GRAND_CARNIVAL
16894,BMW,220I
16895,HYUNDAI,H-1
16896,BMW,520I
16898,TESLA,MODEL_3
16899,TESLA,MODEL_3
16900,TOYOTA,ATIV
16901,TESLA,MODEL_3
16902,BYD,M6
16903,TOYOTA,YARIS_CROSS
16904,BYD,M6
16905,MG,3
16906,SUZUKI,ERTIGA
16907,NETA,V
16908,MERCEDES_BENZ,E350e_PHEV
16909,SUZUKI,CIAZ
16913,TOYOTA,ALTIS
16915,TOYOTA,VELOZ
16917,MAZDA,2_Sedan
16918,MG,5
16919,MG,5
16920,MG,4
16921,MG,4
16922,MG,4
16923,HONDA,CIVIC_Sedan
16925,BYD,DOLPHIN
16927,AION,Y-PLUS
16929,BMW,X1
16930,ORA,GOODCAT
16931,MAZDA,2_Sedan
16933,TOYOTA,CROSS_HYBRID
16934,BMW,530E_PHEV
16935,MG,EP
16936,TESLA,MODEL_3
16938,NISSAN,ALMERA
16939,TOYOTA,ALTIS
16940,MG,ES
16941,TOYOTA,FORTUNER
16942,NETA,V
16943,BMW,530E_PHEV
16944,MAZDA,CX-30
16946,MG,4
16948,TOYOTA,ALTIS
16949,HYUNDAI,H-1
16950,TOYOTA,YARIS_CROSS
16951,TESLA,MODEL_Y
16953,BYD,ATTO_3
16954,AION,Y-PLUS
16955,MITSUBISHI,XPANDER
16956,TOYOTA,YARIS
16957,MERCEDES_BENZ,C350e_PHEV
16958,MAZDA,2_Hatchback
16959,HONDA,HR-V
16960,BYD,DOLPHIN
16961,BMW,520D
16962,NISSAN,SERENA
16963,TOYOTA,ATIV
16964,TOYOTA,ATIV
16965,HONDA,HR-V
